run_id,f_true_hz,sample_rate_hz,predicted_alias_hz,measured_alias_hz,residual_hz,abs_residual_hz,uncertainty_hz,fir_mode,power_tier_dbm,status,adc_passes_guard,adc_is_clipped,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f782609_idx08_fir_alias_hack__pm40p0,782608.6956521738,1000000.026490954,-217391.33083878027,-217285.1620060911,106.16883268917445,106.16883268917445,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f782609_idx08_fir_alias_hack__pm50p0,782608.6956521738,1000000.026490954,-217391.33083878027,-217285.1620060911,106.16883268917445,106.16883268917445,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f782609_idx08_fir_default__pm10p0,782608.6956521738,1000000.026490954,-217391.33083878027,-217285.1620060911,106.16883268917445,106.16883268917445,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f782609_idx08_fir_default__pp0p0,782608.6956521738,1000000.026490954,-217391.33083878027,-217285.1620060911,106.16883268917445,106.16883268917445,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f782609_idx08_fir_default__pp10p0,782608.6956521738,1000000.026490954,-217391.33083878027,-217285.1620060911,106.16883268917445,106.16883268917445,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f869565_idx09_fir_alias_hack__pm30p0,869565.2173913043,1000000.026490954,-130434.80909964966,-130371.09720365466,63.71189599500212,63.71189599500212,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f869565_idx09_fir_alias_hack__pm40p0,869565.2173913043,1000000.026490954,-130434.80909964966,-130371.09720365466,63.71189599500212,63.71189599500212,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f869565_idx09_fir_alias_hack__pm50p0,869565.2173913043,1000000.026490954,-130434.80909964966,-130371.09720365466,63.71189599500212,63.71189599500212,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f869565_idx09_fir_default__pm10p0,869565.2173913043,1000000.026490954,-130434.80909964966,-130371.09720365466,63.71189599500212,63.71189599500212,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f869565_idx09_fir_default__pp0p0,869565.2173913043,1000000.026490954,-130434.80909964966,-130371.09720365466,63.71189599500212,63.71189599500212,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f869565_idx09_fir_default__pp10p0,869565.2173913043,1000000.026490954,-130434.80909964966,-130371.09720365466,63.71189599500212,63.71189599500212,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f86957_idx00_fir_alias_hack__pm30p0,86956.52173913043,1000000.026490954,86956.52173913049,86914.06480243643,-42.45693669405591,42.45693669405591,0.0,alias_hack,-30.0,captured,True,False,True,True
